Image number,Original images,High noise level,Low noise level,Large filter,Small filter
image: 1,1.0,0.960746664463237,0.9137506394763999,0.963191464833338,1.0082434791845867
image: 2,1.0,0.9456540978914011,0.980559638026693,0.924415978926994,0.9785695735866811
image: 3,1.0,0.9756169923760395,0.9612914444350331,0.9490868369353559,0.9860972662257861
image: 4,1.0,1.0064804204766011,0.8307751454382889,0.9225372869631294,0.9899092215694434
image: 5,1.0,1.0111445834798132,0.9042281989039741,0.9583181779791415,0.9777230829120056
image: 6,1.0,0.7690488824054298,0.966692934762633,0.9738860354430673,0.9764410701841278
image: 7,1.0,0.6458537654841917,0.8434977469779491,0.9110511538152158,0.9364558841160489
image: 8,1.0,0.9013157799513439,0.49347047382863946,0.009390007204566135,0.9683637458160613
image: 9,1.0,0.8023142298124009,0.036522886598568165,0.022101601817353208,0.9362872717576928
